REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5,,,,2
Feb-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5,,,,2
Mar-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5,,,,2
Apr-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.25,,,,2
May-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.5,,,,2
Jun-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.5,,,,2
Jul-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.62,,,,2
Aug-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.62,,,,2
Sep-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
Oct-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
Nov-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
Dec-51,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
Jan-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.7,,,,2
Feb-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.7,,,,2
Mar-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.7,,,,2
Apr-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.7,,,,2
May-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.8,,,,2
Jun-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.8,,,,2
Jul-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.85,,,,2
Aug-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.85,,,,2
Sep-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
Oct-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.8,,,,2
Nov-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.8,,,,2
Dec-52,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.8,,,,2
Jan-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.9,,,,2
Feb-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.9,,,,2
Mar-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.9,,,,2
Apr-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.9,,,,2
May-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.9,,,,2
Jun-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.95,,,,2
Jul-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.95,,,,2
Aug-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.95,,,,2
Sep-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.05,,,,2
Oct-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.05,,,,2
Nov-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.1,,,,2
Dec-53,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.1,,,,2
Jan-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.05,,,,2
Feb-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.05,,,,2
Mar-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.05,,,,2
Apr-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
May-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Jun-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Jul-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Aug-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Sep-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Oct-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Nov-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Dec-54,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Jan-55,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Feb-55,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Mar-55,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
Apr-55,Canada,2016A000011124,Percent,239,units,0,v733833,1,6,,,,2
May-55,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
