Estimate,Average weekly earnings including overtime for all employees
Jan-13,911.92A
Feb-13,913.98A
Mar-13,916.46A
Apr-13,913.63A
May-13,921.52A
Jun-13,919.36A
Jul-13,917.08A
Aug-13,924.32A
Sep-13,920.44A
Oct-13,924.89A
Nov-13,930.36A
Dec-13,926.58A
Jan-14,931.20A
Feb-14,933.16A
Mar-14,928.54A
Apr-14,933.24A
May-14,938.98A
Jun-14,938.77A
Jul-14,945.94A
Aug-14,943.20A
Sep-14,944.35A
Oct-14,942.62A
Nov-14,940.31A
Dec-14,941.21A
Jan-15,950.66A
Feb-15,957.24A
Mar-15,963.24A
Apr-15,964.69A
May-15,956.66A
Jun-15,960.79A
Jul-15,973.02A
Aug-15,959.72A
Sep-15,966.96A
Oct-15,968.77A
Nov-15,967.54A
Dec-15,970.49A
Jan-16,963.96A
Feb-16,965.83A
Mar-16,970.83A
Apr-16,970.62A
May-16,974.91A
Jun-16,979.37A
Jul-16,976.43A
Aug-16,979.48A
Sep-16,970.35A
Oct-16,974.24A
Nov-16,977.62A
Dec-16,988.27A
Jan-17,987.31A
Feb-17,984.93A
Mar-17,984.67A
Apr-17,989.08A
May-17,987.55A
Jun-17,987.10A
Jul-17,984.59A
Aug-17,991.80A
Sep-17,"1,002.16A"
Oct-17,"1,000.54A"
Nov-17,"1,007.79A"
Dec-17,"1,009.79A"
Jan-18,"1,012.99A"
Feb-18,"1,019.20A"
Mar-18,"1,015.83A"
Apr-18,"1,014.63A"
May-18,"1,014.30A"
Jun-18,"1,019.58A"
Jul-18,"1,017.66A"
Aug-18,"1,024.15A"
Sep-18,"1,025.58A"
Oct-18,"1,031.42A"
Nov-18,"1,034.62A"
Dec-18,"1,032.48A"
Jan-19,"1,029.57A"
Feb-19,"1,030.55A"
Mar-19,"1,037.32A"
Apr-19,"1,040.90A"
May-19,"1,053.12A"
Jun-19,"1,035.35A"
Jul-19,"1,051.49A"
Aug-19,"1,057.14A"
Sep-19,"1,063.74B"
Oct-19,"1,067.12B"
Nov-19,"1,063.26B"
Dec-19,"1,065.16B"
Jan-20,"1,063.09B"
Feb-20,"1,063.37B"
Mar-20,"1,063.58B"
Apr-20,"1,131.33B"
May-20,"1,168.03B"
Jun-20,"1,145.73B"
Jul-20,"1,153.71B"
Aug-20,"1,148.73B"
Sep-20,"1,149.02B"
Oct-20,"1,143.88B"
Nov-20,"1,151.03B"
Dec-20,"1,150.72B"
Jan-21,"1,172.93B"
Feb-21,"1,180.42B"
Mar-21,"1,163.70B"
Apr-21,"1,164.71B"
May-21,"1,177.27B"
Jun-21,"1,149.25B"
Jul-21,"1,163.56B"
Aug-21,"1,169.93B"
Sep-21,"1,166.27B"
Oct-21,"1,173.53B"
Nov-21,"1,159.95B"
Dec-21,"1,161.19B"
Jan-22,"1,184.64B"
Feb-22,"1,187.47B"
Mar-22,"1,204.63B"
Apr-22,"1,196.09B"
May-22,"1,193.79B"
Jun-22,"1,176.26B"
Jul-22,"1,194.35B"
Aug-22,"1,196.80B"
Sep-22,"1,202.75B"
Oct-22,"1,203.20B"
Nov-22,"1,203.33B"
Dec-22,"1,187.31B"
Jan-23,"1,212.90B"
Feb-23,"1,209.72B"
Mar-23,"1,220.39B"
Apr-23,"1,230.47B"
May-23,"1,230.65B"
Jun-23,"1,228.02B"
Jul-23,"1,243.12B"
Aug-23,"1,242.79B"
Sep-23,"1,244.95B"
